instrument,date,R
USDCHF,2009-02-04,-1.0
EURGBP,2009-02-24,-1.0
EURUSD,2009-02-25,2.0
USDCHF,2009-02-25,-1.0
AUDUSD,2009-03-11,2.0
NZDUSD,2009-03-11,2.0
EURGBP,2009-03-25,2.0
USDJPY,2009-03-25,0.0
GBPUSD,2009-04-01,2.0
EURUSD,2009-04-07,0.0
USDCHF,2009-04-14,-1.0
AUDUSD,2009-04-27,2.0
NZDUSD,2009-04-27,2.0
USDJPY,2009-05-01,-1.036
EURGBP,2009-05-18,2.0
USDJPY,2009-06-01,-0.98
USDCHF,2009-06-15,-0.1004
AUDUSD,2009-06-16,-1.0
NZDUSD,2009-06-16,-1.0
USDJPY,2009-06-17,0.0
EURUSD,2009-06-24,2.0
EURGBP,2009-08-19,-1.0
NZDUSD,2009-08-19,0.0
AUDUSD,2009-09-02,-1.0
EURGBP,2009-09-15,2.0
AUDUSD,2009-10-02,-1.0
NZDUSD,2009-10-02,-1.0
EURGBP,2009-10-16,2.0
USDJPY,2009-10-16,-1.029
EURUSD,2009-10-30,-2.694
GBPUSD,2009-11-02,-1.0
NZDUSD,2009-11-10,-1.0
EURGBP,2009-11-23,0.0
USDJPY,2009-12-04,1.8625
AUDUSD,2009-12-09,0.0
USDCHF,2010-01-19,2.0
GBPUSD,2010-01-26,-1.0
AUDUSD,2010-02-17,0.7378
NZDUSD,2010-02-17,0.5289
EURGBP,2010-02-22,2.0
GBPUSD,2010-03-22,-1.0
USDCHF,2010-04-14,-1.0
USDJPY,2010-04-19,0.415
AUDUSD,2010-04-28,2.0
GBPUSD,2010-04-28,2.0
AUDUSD,2010-07-07,2.0
GBPUSD,2010-07-23,2.0
USDCHF,2010-07-26,-1.0
USDJPY,2010-07-28,-1.022
USDCHF,2010-08-10,-1.0
EURUSD,2010-08-12,0.0
USDJPY,2010-08-23,-1.015
NZDUSD,2010-08-30,2.0
USDJPY,2010-08-31,0.0
EURUSD,2010-09-08,-1.0
GBPUSD,2010-09-15,2.0
NZDUSD,2010-09-27,2.0
AUDUSD,2010-10-20,-1.0
EURUSD,2010-10-20,-1.0
GBPUSD,2010-10-20,-1.0
EURGBP,2010-10-21,0.0
NZDUSD,2010-10-29,2.0
USDCHF,2010-11-05,-1.0
EURUSD,2010-11-09,2.0
AUDUSD,2010-12-06,2.0
USDCHF,2010-12-06,2.0
EURUSD,2010-12-07,-0.6837
USDJPY,2010-12-09,-1.015
EURGBP,2010-12-14,0.0
USDJPY,2011-01-12,-1.027
USDCHF,2011-01-13,2.0
NZDUSD,2011-01-14,-1.0
AUDUSD,2011-01-28,-1.0
EURGBP,2011-02-04,-1.0
AUDUSD,2011-02-11,0.0
GBPUSD,2011-02-18,0.0
EURGBP,2011-04-11,0.0
EURGBP,2011-04-21,0.0
EURUSD,2011-05-09,0.0
USDCHF,2011-05-11,-1.0
USDJPY,2011-05-18,-1.025
AUDUSD,2011-05-27,-1.0
GBPUSD,2011-05-27,-1.0
EURGBP,2011-06-01,0.0
NZDUSD,2011-06-29,2.0
EURGBP,2011-07-11,1.5117
